City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,puerto baquerizo moreno,-0.9,-89.6,23.3,82,91,5.71,EC,1698036375
201,portage la prairie,49.9728,-98.2926,10.62,55,100,4.93,CA,1698036375
202,el calafate,-50.3408,-72.2768,6.39,78,3,1.77,AR,1698036376
203,xiva,41.3783,60.3639,6.99,59,2,3.16,UZ,1698036376
204,san salvador de jujuy,-24.1946,-65.2971,25.74,59,91,1.69,AR,1698036377
205,howrah,22.5892,88.3103,30.0,70,75,4.12,IN,1698036377
206,mbanza-ngungu,-5.25,14.8667,21.15,94,100,1.31,CD,1698036378
207,tabou,4.423,-7.3528,24.7,92,70,2.55,CI,1698036378
208,longyearbyen,78.2186,15.6401,-11.09,79,0,5.14,SJ,1698036379
209,aracati,-4.5617,-37.7697,25.16,77,98,4.89,BR,1698036380
210,nemuro,43.3236,145.575,11.73,59,49,5.19,JP,1698036380
211,katsuren-haebaru,26.3369,127.8719,29.21,59,75,6.69,JP,1698036381
212,tual,-5.6667,132.75,26.84,76,8,4.09,ID,1698036381
213,cozumel,20.5083,-86.9458,24.04,88,20,0.0,MX,1698036149
214,moyale,3.5167,39.0584,21.75,73,62,3.1,KE,1698036382
215,iskateley,67.6803,53.1512,-0.69,98,100,3.27,RU,1698036383
216,kutum,14.2,24.6667,20.53,21,5,3.24,SD,1698036383
217,zaozersk,69.4005,32.4476,-0.66,87,100,5.64,RU,1698036384
218,inari,68.906,27.0288,-4.89,94,28,1.42,FI,1698036384
219,tralee,52.2704,-9.7026,9.82,95,100,3.38,IE,1698036385
220,nema,57.5067,50.5011,-0.34,72,99,3.46,RU,1698036386
221,mount gambier,-37.8333,140.7667,20.14,37,59,1.93,AU,1698036386
222,phek,25.6667,94.5,13.53,96,100,0.79,IN,1698036387
223,acapulco de juarez,16.8634,-99.8901,26.9,89,40,1.03,MX,1698036387
224,aasiaat,68.7098,-52.8699,-13.9,81,42,2.67,GL,1698036388
225,aden,12.7794,45.0367,28.75,69,24,3.75,YE,1698036388
226,velletri,41.6692,12.7793,16.86,76,11,2.04,IT,1698036389
227,mana,5.6592,-53.7767,26.03,92,73,4.02,GF,1698036389
228,el granada,37.5027,-122.4694,17.57,93,100,2.57,US,1698036390
229,sinabang,2.4803,96.3801,26.49,78,98,0.48,ID,1698036390
230,falkenberg,56.9055,12.4912,10.08,100,72,4.09,SE,1698036391
231,urangan,-25.3,152.9,23.37,72,0,7.9,AU,1698036392
232,ola,59.5833,151.2833,2.78,81,100,6.06,RU,1698036392
233,smithers,54.7804,-127.1743,-0.82,86,75,1.03,CA,1698036393
234,dese,11.1333,39.6333,14.73,64,35,1.11,ET,1698036393
235,arkhangel'sk,64.5401,40.5433,-1.76,86,67,1.37,RU,1698036394
236,port isabel,26.0734,-97.2086,27.23,81,75,6.69,US,1698036394
237,la rinconada,37.4873,-5.9826,14.47,95,75,0.51,ES,1698036395
238,bend,44.0582,-121.3153,11.32,73,100,0.89,US,1698036395
239,bathsheba,13.2167,-59.5167,28.34,83,20,4.63,BB,1698036396
240,ixtapa,20.7,-105.2,27.57,78,20,1.54,MX,1698035541
241,hajjah,15.6943,43.6058,20.9,31,2,3.66,YE,1698036397
242,la ronge,55.1001,-105.2842,-1.86,59,75,4.12,CA,1698036398
243,chom bueng,13.62,99.5917,30.56,71,61,2.59,TH,1698036398
244,natal,-5.795,-35.2094,25.36,88,40,4.12,BR,1698036399
245,scottburgh,-30.2867,30.7532,16.55,68,1,2.26,ZA,1698036399
246,turtas,58.9417,69.1325,-1.0,71,99,4.87,RU,1698036400
247,contai,21.7786,87.7536,27.25,76,100,5.48,IN,1698036400
248,vizinga,61.0749,50.1031,-1.4,89,94,4.12,RU,1698036401
249,sechura,-5.5569,-80.8222,21.31,80,33,5.77,PE,1698036402
250,lagoa,39.05,-27.9833,18.54,71,86,6.58,PT,1698036402
251,nuku'alofa,-21.1333,-175.2,24.19,69,75,4.12,TO,1698036403
252,port moresby,-9.4431,147.1797,29.68,62,40,6.17,PG,1698036404
253,pont rouge,48.8833,-72.0825,5.16,83,94,2.79,CA,1698036404
254,peace river,56.2501,-117.286,-8.83,85,75,2.06,CA,1698036405
255,rundu,-17.9333,19.7667,23.96,12,0,3.6,NA,1698036405
256,keetmanshoop,-26.5833,18.1333,16.51,41,0,2.57,NA,1698036406
257,san luis de la loma,17.2706,-100.8939,25.03,88,91,1.71,MX,1698036407
258,galle,6.0367,80.217,25.16,89,100,3.98,LK,1698036407
259,bilibino,68.0546,166.4372,-7.51,94,99,1.09,RU,1698036408
260,tono,39.3167,141.5333,16.46,51,22,4.33,JP,1698036408
261,kalevala,65.2,31.1667,-3.5,92,9,1.59,RU,1698036409
262,rio grande,-32.035,-52.0986,17.75,97,100,3.13,BR,1698036409
263,sarangani,5.4033,125.4636,28.95,69,51,2.55,PH,1698036410
264,floro,61.5996,5.0328,8.98,71,75,2.57,NO,1698036410
265,queenstown,-31.8976,26.8753,10.19,77,88,1.13,ZA,1698036411
266,prince rupert,54.3161,-130.3201,7.83,72,40,6.69,CA,1698036412
267,greater sudbury,46.49,-80.99,-1.46,93,2,1.49,CA,1698036373
268,cabo san lucas,22.8909,-109.9124,27.09,89,39,1.34,MX,1698035735
269,porbandar,21.6422,69.6093,30.99,55,13,1.03,IN,1698036413
270,sanford,28.8006,-81.2731,22.16,83,0,3.6,US,1698036323
271,matamata,-37.8106,175.7624,21.21,76,6,3.95,NZ,1698036414
272,mutuali,-14.8706,37.0044,26.81,42,94,3.21,MZ,1698036415
273,sol'tsy,58.1239,30.3238,3.21,96,100,1.94,RU,1698036415
274,pishin,30.5803,66.9961,19.47,25,0,2.16,PK,1698036416
275,zyryanskoye,56.8306,86.6258,6.87,86,100,6.87,RU,1698036416
276,sarpol-e zahab,34.4611,45.8626,23.02,32,3,0.93,IR,1698036417
277,tofol,5.3248,163.0078,31.88,66,75,1.54,FM,1698036417
278,minas de marcona,-15.2119,-75.1103,14.8,93,100,5.79,PE,1698036418
279,atafu village,-8.5421,-172.5159,29.11,70,59,4.68,TK,1698036418
280,coquimbo,-29.9533,-71.3436,14.85,82,100,2.06,CL,1698036072
